name;phone_office;phone_fax;CORRESPONDANT;REGLEMENT;FAMILLE;PRODUIT;billing_address_street;billing_address_city;billing_address_postalcode;billing_address_country;rating;;phone_alternate;website;ownership;employees;ticker_symbol;portable_c
FILMOP;+39 (0)49 9325066;+39 (0)49 9325317;;VI15;PARTENAIRE;SEAUX;Via dell'Artigianato, 10/11;VILLA DEL CONTE;35101;ITALIA;;;;www.filmop.com;;;;
BONZI EMBALLAGES;04 50 27 23 34;04 50 27 34 07;;;CONSO_EMB.;;75, imp LECHERTE;ARGONAY;74,370;;;;;;;;;
KUEHNE + NAGEL ROAD (Alloin);04 76 56 40 40;04 76 56 11 68;;;TRANSPORT;;369, RUE POMMARIN;VOREPPE;38340;FR;;;;;;;;
OVERMAT;+31 (0) 416 317788;+31 (0) 416 313561;Jeroen VAN OVERSTEEG;VI15;PARTENAIRE;MONOBROSSE;Scharlo 11 - 5165 NG WASPIK POSTBUS 83;WASPIK;5165 ZH;The Netherlands;;;;www.overmat.nl;;;;
VINK AGENCIES;+31184-633835;+31184-632169;Erwin VINK;VI15;PARTENAIRE;PAD MELAMINE - accessoires;Peulenstraat Zuid 84A;AR Hardinxveld-Giessendam;3371;HOLLAND;;;;http://www.vinkagencies.nl/index.php?lang=uk;;;;+31 652 02 2295
BERNIER SARL;04 79 44 21 93;04 79 44 22 43;Manuel MARTINEZ;VI12;CONSO_EMB.;;RN 6 LES ILES;CHATEAUNEUF;73390;France;;;;www.palette-bernier.com;;;;
ECORIS ;04 79 69 28 17 ;04 79 62 40 67 ;;;FORMATION;;574 rue de Chantabord ;CHAMBERY;73000;Fr;;;;http://www.ecoris.com;;;;
SR CONSEIL;04 79 25 19 18;04 34 09 05 41;;;CONSEIL;;82 rue de la Petite Eau B.P 30;LA MOTTE SERVOLEX;73290;;;;;;;;;
GEM GRENOBLE ;04 76 70 60 60 ;04 76 70 60 99 ;;;FORMATION;;12 rue Pierre Semard;GRENOBLE;38000;France;;;;www.grenoble-em.com;;;;
CAISSE D'EPARGNE Centre affaires;04 72 60 20 50 ;;;;FINANCE;;663 Avenue René Cassin ;La Motte Servolex ;73290;FRANCE;;;04 76 28 34 86 teletrans ;;;;;
AG2R LA MONDIALE;;;;;SOCIAL;;;;;;;;;;PREVOYANCE;;;
INSEEC ;04 79 25 32 54 ;;;;FORMATION;;;;;;;;;https://www.inseec.com/chambery;;;;
GENERALI;;;;;SOCIAL;;;;;;;;;monespace.generali.fr;;;;
Véronique Sy;06 11 31 01 14;;;;COMMUNICATION;;;;;;;;;;;;;06 11 31 01 14
BANQUE DE FRANCE;04 79 69 83 36;04 79 69 83 25;;;BANQUE;;447 av. du covet;CHAMBERY;73001;;;;;;;;;
COULEUR MONTAGNE;04 79 25 15 00;;;;COMMUNICATION;;371 RUE ARCHIMEDE;La Ravoire;73490;;;;;couleurs-montagne.com;;;;
SCP JF MOTTAY P Scannino L Vivarelli;04 79 70 21 19;04 79 70 28 09;;;CONSEIL;;1 place de la libération;chambéry;73002;;;;;www.huissiers-chambery.fr;;;;
Teo communication;04 79 96 03 17;04 79 68 91 32;;;COMMUNICATION;;107 rue de la Curiaz;La Motte Servolex;73,290;;;;;;;;;06 81 48 40 62
VERRINE 73;04 56 29 38 22;;;;RECEPTION;;1540 av de Chmabery;challes les eaux;73190;f;;;;verrine73.com;;;;06 79 83 92 77
Impact Media;;;;;COMMUNICATION;;;;;;;;;;;;;06 15 59 61 87
INTERGROS;01 60 95 44 44 (9-13h);01 60 95 44 45;;;SOCIAL;;12 av Ampère  Champ sur marne;Marne La Vallée Cx 2;77,447;;;;;intergros.com;;;;
DPD SAS - Etablissement 074 - EXAPAQ;04 50 68 31 80 ;04 50 68 22 25 ;;VI01;TRANSPORT;;298 rue du Mont Blanc ZAC d'Orsan;ST FELIX;74540;France;;;;www.dpd.fr;;;;06 88 08 51 51
BASKERVILLE;00 323 827 17 98;00 32 3 827 32 51;Birgit Hendrix;VI04;COMMUNICATION;;;KONTICH;2550;belgique;;;;www.baskerville.be;;;;
NEWQUEST;04 79 33 50 82;;;;COMMUNICATION;;;chambéry;73000;;;;;;;;;
ELIT'Info;04 79 85 25 40;04 79 70 59 36;;;INFORMATIQUE;;209 av Grand Verger ;Chambéry;73000;f;;;;http://www.elit-info.com/KERNEL/?NODE_ID={1D0F3948-D373-4C7F-A7DA-FBB6EC58F018}&DB=HYL&U={DC5AB262-634F-422B-9D27-B7BC29A08D03};;;;
CHAMPAGNE JEAN-PERNET;03 26 57 54 24;;;;RECEPTION;;6 rue de la brèche d'Oger;LE MESNIL-SUR-OGER;51190;;;;;champagne-jean-pernet.com;;;;03 26 57 96 98
AREA;0 826 88 72 72;04 72 35 32 04;;;TRANSPORT;;;Bron;69,671;;;;;;;;;
BANQUE DE SAVOIE;04 79 26 62 02;04 79 26 62 00;;;BANQUE;;6 bd du théâtre BP 30109;CHAMBERY CEDEX;73001;;;;;www.banque-de-savoie.com;;;;06 07 59 00 85
ISTOCKPHOTO;;;;;COMMUNICATION;;;;;;;;;http://francais.istockphoto.com;;;;
VALESPACE TRIALP;04 79 96 41 00;04 79 96 35 48;;;SERVICE GENERAUX;;928 avenue de la houille blanche ZI de Bissy;CHAMBERY;73000;;;;;www.valespace.com;;;;
SAGIP SERIGRAPHIE;04 79 69 25 73 ;04 79 62 40 26 ;;;COMMUNICATION;;103 route de Lyon;COGNIN;73160;FRANCE;;;;http://www.sagip-serigraphie.com/;;;;
NAVICA;;;;;CONSEIL;;2 rue des Pératières;ST MARTIN D'HERES;38400;;;;;www.navica-conseil.com;;;;06 11 84 16 57
DAVID NETTOYAGE;04 79 69 21 32;04 79 96 97 68;;;SERVICE GENERAUX;;Le Nymphéa 124 Allée Albert Sylvestre;CHAMBERY;73000;;;;;;;;;
CGL PACK;04 50 27 34 50;04 50 27 34 47;;;CONSO_EMB.;;BP 9020;ANNECY;74990;;;;;www.cglpack.com;;;;
RHONE ALPES EMBALLAGE;04 76 08 53 79;04 76 92 36 35;Jean-Claude ROBESSON;;CONSO_EMB.;;Chemin villard bozon;GONCELIN;38570;France;;;;;Jean-Claude ROBESSON;;;06 09 01 47 39
Woodilis;04 72 30 03 14;04 72 30 03 15;;;COMMUNICATION;;Parc des Ayats 289 rue de Guénas;MILLERY;69390;France;;;;www.woodilis.com;;;;06 32 15 00 77
IMPRIMERIE CHALLESIENNE;04 79 72 85 51;04 79 72 84 37;;;COMMUNICATION;;ZA du Puits d'Ordet;CHALLES-LES-EAUX;73190;FRANCE;;;;http://www.imprimerie-challesienne.com/;;;;
LA POSTE;3634;;;;TRANSPORT;;;;;;;;;;;;;
PME PARTENARIAT;04 79 69 09 72;04 79 69 09 72;;;SECURITE;;339 rue du Puy Gris;CHAMBERY;73000;;;;;www.pme-partenariat.fr;;;;
NATIXIS - TICKETS RESTAURANT;0820.20.20.01;0820.20.20.31;;;SOCIAL;;Dir. Relations et Services Clients Héliopôle de Gramont - Bât D;BALMA CEDEX;31132;;;;;;;;;
JOIN.ME;0800.911.568;;;;COMMUNICATION;;LogMeIn Ireland 7th Floor, Bloodstone Building Sir Rogerson's Quay;Dubin, 2 Ireland;;;;;;www.join.me/fr;;;;
YZIACT;04 75 78 28 35;04 75 78 03 29;;;INFORMATIQUE;;8 avenue de la gare;ALIXAN;26300;France;;;;www.yziact.fr;;;;
STONES Gesellschaft;0381 453860 12;0381 453860 50;Sven FRITSCHE;;PARTENAIRE;STONES ECO FUGENSAND;für  mineralische Baustoffe GmbH Rungestrasse 17;ROSTOCK;18055;Allemagne;;;;www.stones-baustoffe.de;;;;
LAPORTE & BOUZOL;04 79 96 19 31;04 79 69 55 59;;;CONSEIL;;44A rue Charles Montreuil;CHAMBERY;73000;France;;;;www.laporte-avocats.org;;;;
MAGNIN-GECORS;04 79 33 18 45;04 79 71 36 18;;;CONSEIL;;100 rue Louis Pasteur;LA RAVOIRE;73490;France;;;;www.magningecors.fr;;;;
POLE EMPLOI CHAMBERY-COMBES;04 57 08 70 38;04 79 75 12 37;;;CONSEIL;;572, Rue Pr2 de l'Ane;CHAMBERY;73000;France;;;3995;www.pole-emploi.fr;;;;
LANDOLT FRANCE SAS;03 89 35 60 60;03 89 35 60 61;Amandine SCHMITT;VI03;PARTENAIRE;PROCOVER;57, rue Lavoisier - CS 42324;MULHOUSE CEDEX 2;68069;France;;;;;;;;
STINGEL;+49 70244098080;+49 702440980810;Manuela MAGIN;V120;PARTENAIRE;LABELS PRIVES;;;;;;;;;;;;
KGS DIAMOND INTERNATIONAL ;+31 525 683 300;+31 525 683 530;Johnny VAN LEUSEN;VI15;PARTENAIRE;PROPAD NANO;Industriestraat 2;8081 HG ELBURG  99;;hollande;;;;;;;;
