id,name,description,classification,emballage
dom_classification_onu_54,1133,ADHÉSIFS contenant un liquide inflammable (ayant un point d¿éclair inférieur à 23 °C et visqueux selon 2.2.3.1.4) (pression de vapeur à 50 °C inférieure ou égale à 110 kPa),F1,3
dom_classification_onu_55,1133,ADHÉSIFS contenant un liquide inflammable (ayant un point d¿éclair inférieur à 23 °C et visqueux selon 2.2.3.1.4) (pression de vapeur à 50 °C supérieure à 110 kPa point d'ébullition supérieur à 35 °C),F1,3
dom_classification_onu_56,1133,ADHÉSIFS contenant un liquide inflammable (pression de vapeur à 50 °C inférieure ou égale à 110 kPa),F1,2
dom_classification_onu_57,1133,ADHÉSIFS contenant un liquide inflammable (pression de vapeur à 50 °C supérieure à 110 kPa),F1,2
dom_classification_onu_58,1134,CHLOROBENZÈNE,F1,3
dom_classification_onu_59,1136,DISTILLATS DE GOUDRON DE HOUILLE INFLAMMABLES,F1,2
dom_classification_onu_60,1136,DISTILLATS DE GOUDRON DE HOUILLE INFLAMMABLES,F1,3
dom_classification_onu_61,1139,SOLUTION D'ENROBAGE (traitements de surface ou enrobages utilisés dans l'industrie ou à d'autres fins tels que sous-couche pour carrosserie de véhicule revêtement pour fûts et tonneaux) ,F1,1
dom_classification_onu_62,1139,SOLUTION D'ENROBAGE (traitements de surface ou enrobages utilisés dans l'industrie ou à d'autres fins tels que sous-couche pour carrosserie de véhicule revêtement pour fûts et tonneaux) ,F1,3
dom_classification_onu_63,1139,SOLUTION D'ENROBAGE (traitements de surface ou enrobages utilisés dans l'industrie ou à d'autres fins tels que sous-couche pour carrosserie de véhicule revêtement pour fûts et tonneaux) (ayant un point d¿éclair inférieur à 23 °C et visqueux selon 2.2.3.1.4) (point d'ébullition d'au plus 35 °C),F1,3
dom_classification_onu_64,1139,SOLUTION D'ENROBAGE (traitements de surface ou enrobages utilisés dans l'industrie ou à d'autres fins tels que sous-couche pour carrosserie de véhicule revêtement pour fûts et tonneaux) (ayant un point d¿éclair inférieur à 23 °C et visqueux selon 2.2.3.1.4) (pression de vapeur à 50 °C supérieure à 110 kPa point d'ébullition supérieur à 35 °C),F1,3
dom_classification_onu_65,1139,SOLUTION D'ENROBAGE (traitements de surface ou enrobages utilisés dans l'industrie ou à d'autres fins tels que sous-couche pour carrosserie de véhicule revêtement pour fûts et tonneaux) (ayant un point d¿éclair inférieur à 23 °C et visqueux selon 2.2.3.1.4) (pression de vapeur à 50 °C inférieure ou égale à 110 kPa),F1,3
dom_classification_onu_66,1139,SOLUTION D'ENROBAGE (traitements de surface ou enrobages utilisés dans l'industrie ou à d'autres fins tels que sous-couche pour carrosserie de véhicule revêtement pour fûts et tonneaux) (pression de vapeur à 50 °C inférieure ou égale à 110 kPa),F1,2
dom_classification_onu_67,1139,SOLUTION D'ENROBAGE (traitements de surface ou enrobages utilisés dans l'industrie ou à d'autres fins tels que sous-couche pour carrosserie de véhicule revêtement pour fûts et tonneaux) (pression de vapeur à 50 °C supérieure à 110 kPa),F1,2
dom_classification_onu_68,1145,CYCLOHEXANE,F1,2
dom_classification_onu_69,1146,CYCLOPENTANE,F1,2
dom_classification_onu_70,1147,DECAHYDRO-NAPHTALÈNE,F1,3
dom_classification_onu_71,1148,DIACÉTONE-ALCOOL,F1,2
dom_classification_onu_72,1148,DIACÉTONE-ALCOOL,F1,3
dom_classification_onu_73,1149,ÉTHERS BUTYLIQUES,F1,3
dom_classification_onu_74,1150,DICHLORO-12 ÉTHYLÈNE,F1,2
dom_classification_onu_75,1152,DICHLOROPENTANES,F1,3
dom_classification_onu_76,1153,ÉTHER DIÉTHYLIQUE DE L'ÉTHYLÈNEGLYCOL,F1,2
dom_classification_onu_77,1153,ÉTHER DIÉTHYLIQUE DE L'ÉTHYLÈNEGLYCOL,F1,3
dom_classification_onu_78,1154,DIÉTHYLAMINE,FC,2
dom_classification_onu_79,1156,DIÉTHYLCÉTONE,F1,2
dom_classification_onu_80,1157,DIISOBUTYLCÉTONE,F1,3
dom_classification_onu_81,1158,DIISOPROPYLAMINE,FC,2
dom_classification_onu_82,1159,ÉTHER ISOPROPYLIQUE,F1,2
dom_classification_onu_83,1160,DIMÉTHYLAMINE EN SOLUTION AQUEUSE,FC,2
dom_classification_onu_84,1161,CARBONATE DE MÉTHYLE,F1,2
dom_classification_onu_85,1164,SULFURE DE MÉTHYLE,F1,2
dom_classification_onu_86,1165,DIOXANNE,F1,2
dom_classification_onu_87,1166,DIOXOLANNE,F1,2
dom_classification_onu_88,1169,EXTRAITS AROMATIQUES LIQUIDES ,F1,3
dom_classification_onu_89,1169,EXTRAITS AROMATIQUES LIQUIDES (ayant un point d¿éclair inférieur à 23 °C et visqueux selon 2.2.3.1.4) (pression de vapeur à 50 °C inférieure ou égale à 110 kPa),F1,3
dom_classification_onu_90,1169,EXTRAITS AROMATIQUES LIQUIDES (ayant un point d¿éclair inférieur à 23 °C et visqueux selon 2.2.3.1.4) (pression de vapeur à 50 °C supérieure à 110 kPa point d'ébullition supérieur à 35 °C),F1,3
dom_classification_onu_91,1169,EXTRAITS AROMATIQUES LIQUIDES (pression de vapeur à 50 °C inférieure ou égale à 110 kPa),F1,2
dom_classification_onu_92,1169,EXTRAITS AROMATIQUES LIQUIDES (pression de vapeur à 50 °C supérieure à 110 kPa),F1,2
dom_classification_onu_93,1170,ÉTHANOL (ALCOOL ÉTHYLIQUE) ou ÉTHANOL EN SOLUTION (ALCOOL ÉTHYLIQUE EN SOLUTION),F1,2
dom_classification_onu_94,1170,ÉTHANOL EN SOLUTION (ALCOOL ÉTHYLIQUE EN SOLUTION),F1,3
dom_classification_onu_95,1171,ÉTHER MONOÉTHYLIQUE DE L'ÉTHYLÈNEGLYCOL,F1,3
dom_classification_onu_96,1172,ACÉTATE DE L'ÉTHER MONOÉTHYLIQUE DE L'ÉTHYLÈNEGLYCOL,F1,3
dom_classification_onu_97,1173,ACÉTATE D'ÉTHYLE,F1,2
dom_classification_onu_98,1175,ÉTHYLBENZÈNE,F1,2
dom_classification_onu_99,1176,BORATE D'ÉTHYLE,F1,2
dom_classification_onu_100,1177,ACÉTATE DE 2-ÉTHYLBUTYLE,F1,3
dom_classification_onu_101,1178,ALDÉHYDE ÉTHYL-2 BUTYRIQUE,F1,2
dom_classification_onu_102,1179,ÉTHER ÉTHYLBUTYLIQUE,F1,2
dom_classification_onu_103,1180,BUTYRATE D'ÉTHYLE,F1,3
dom_classification_onu_104,1181,CHLORACÉTATE D'ÉTHYLE,TF1,2
dom_classification_onu_105,1184,DICHLORURE D'ÉTHYLÈNE,FT1,2
dom_classification_onu_106,1188,ÉTHER MONO-MÉTHYLIQUE DE L'ÉTHYLÈNEGLYCOL,F1,3
dom_classification_onu_107,1189,ACÉTATE DE L'ÉTHER MONOMÉTHYLIQUE DE L'ÉTHYLÈNEGLYCOL,F1,3
dom_classification_onu_108,1190,FORMIATE D'ÉTHYLE,F1,2
dom_classification_onu_109,1191,ALDÉHYDES OCTYLIQUES,F1,3
dom_classification_onu_110,1192,LACTATE D'ÉTHYLE,F1,3
dom_classification_onu_111,1193,ÉTHYLMÉTHYLCÉTONE (MÉTHYLÉTHYLCÉTONE),F1,2
dom_classification_onu_112,1195,PROPIONATE D'ÉTHYLE,F1,2
dom_classification_onu_113,1197,EXTRAITS LIQUIDES POUR AROMATISER ,F1,3
dom_classification_onu_114,1197,EXTRAITS LIQUIDES POUR AROMATISER (ayant un point d¿éclair inférieur à 23 °C et visqueux selon 2.2.3.1.4) (pression de vapeur à 50 °C inférieure ou égale à 110 kPa),F1,3
dom_classification_onu_115,1197,EXTRAITS LIQUIDES POUR AROMATISER (ayant un point d¿éclair inférieur à 23 °C et visqueux selon 2.2.3.1.4) (pression de vapeur à 50 °C supérieure à 110 kPa point d'ébullition supérieur à 35 °C),F1,3
dom_classification_onu_116,1197,EXTRAITS LIQUIDES POUR AROMATISER (pression de vapeur à 50 °C inférieure ou égale à 110 kPa),F1,2
dom_classification_onu_117,1197,EXTRAITS LIQUIDES POUR AROMATISER (pression de vapeur à 50 °C supérieure à 110 kPa),F1,2
dom_classification_onu_118,1198,FORMALDÉHYDE EN SOLUTION INFLAMMABLE,FC,3
dom_classification_onu_119,1199,FURALDÉHYDES,TF1,2
dom_classification_onu_120,1201,HUILE DE FUSEL,F1,2
dom_classification_onu_121,1201,HUILE DE FUSEL,F1,3
dom_classification_onu_122,1202,CARBURANT DIESEL conforme à la norme EN 590:2004 ou GAZOLE ou HUILE DE CHAUFFE LÉGÈRE à point d'éclair défini dans la norme EN 590:2004,F1,3
dom_classification_onu_123,1202,CARBURANT DIESEL ou GAZOLE ou HUILE DE CHAUFFE LÉGÈRE (point d'éclair compris entre 60 °C et 100 °C),F1,3
dom_classification_onu_124,1202,CARBURANT DIESEL ou GAZOLE ou HUILE DE CHAUFFE LÉGÈRE (point d'éclair ne dépassant pas 60 °C),F1,3
dom_classification_onu_125,1203,ESSENCE ,F1,2
dom_classification_onu_126,1204,NITROGLYCÉRINE EN SOLUTION ALCOOLIQUE avec au plus 1% de nitroglycérine,D,2
dom_classification_onu_127,1206,HEPTANES,F1,2
dom_classification_onu_128,1207,HEXALDÉHYDE,F1,3
dom_classification_onu_129,1208,HEXANES,F1,2
dom_classification_onu_130,1210,ENCRES D'IMPRIMERIE inflammables ou MATIÈRES APPARENTÉES AUX ENCRES D'IMPRIMERIE (y compris solvants et diluants pour encres d'imprimerie) inflammables,F1,1
dom_classification_onu_131,1210,ENCRES D'IMPRIMERIE inflammables ou MATIÈRES APPARENTÉES AUX ENCRES D'IMPRIMERIE (y compris solvants et diluants pour encres d'imprimerie) inflammables ,F1,3
dom_classification_onu_132,1210,ENCRES D'IMPRIMERIE inflammables ou MATIÈRES APPARENTÉES AUX ENCRES D'IMPRIMERIE (y compris solvants et diluants pour encres d'imprimerie) inflammables (ayant un point d¿éclair inférieur à 23 °C et visqueux selon 2.2.3.1.4) (pression de vapeur à 50 °C inférieure ou égale à 110 kPa),F1,3
dom_classification_onu_133,1210,ENCRES D'IMPRIMERIE inflammables ou MATIÈRES APPARENTÉES AUX ENCRES D'IMPRIMERIE (y compris solvants et diluants pour encres d'imprimerie) inflammables (ayant un point d¿éclair inférieur à 23 °C et visqueux selon 2.2.3.1.4) (pression de vapeur à 50 °C supérieure à 110 kPa point d'ébullition supérieur à 35 °C),F1,3
dom_classification_onu_134,1210,ENCRES D'IMPRIMERIE inflammables ou MATIÈRES APPARENTÉES AUX ENCRES D'IMPRIMERIE (y compris solvants et diluants pour encres d'imprimerie) inflammables (pression de vapeur à 50 °C inférieure ou égale à 110 kPa),F1,2
dom_classification_onu_135,1210,ENCRES D'IMPRIMERIE inflammables ou MATIÈRES APPARENTÉES AUX ENCRES D'IMPRIMERIE (y compris solvants et diluants pour encres d'imprimerie) inflammables (pression de vapeur à 50 °C supérieure à 110 kPa),F1,2
dom_classification_onu_136,1212,ISOBUTANOL (ALCOOL ISOBUTYLIQUE),F1,3
dom_classification_onu_137,1213,ACÉTATE D'ISOBUTYLE,F1,2
dom_classification_onu_138,1214,ISOBUTYLAMINE,FC,2
dom_classification_onu_139,1216,ISOOCTÈNES,F1,2
dom_classification_onu_140,1219,ISOPROPANOL (ALCOOL ISOPROPYLIQUE),F1,2
dom_classification_onu_141,1220,ACÉTATE D'ISOPROPYLE,F1,2
dom_classification_onu_142,1222,NITRATE D'ISOPROPYLE,F1,2
dom_classification_onu_143,1223,KÉROSÈNE,F1,3
dom_classification_onu_144,1224,CÉTONES LIQUIDES N.S.A.,F1,3
dom_classification_onu_145,1224,CÉTONES LIQUIDES N.S.A. (pression de vapeur à 50 °C inférieure ou égale à 110 kPa),F1,2
dom_classification_onu_146,1224,CÉTONES LIQUIDES N.S.A. (pression de vapeur à 50 °C supérieure à 110 kPa),F1,2
dom_classification_onu_147,1228,MERCAPTANS LIQUIDES INFLAMMABLES TOXIQUES N.S.A. ou MERCAPTANS EN MÉLANGE LIQUIDE INFLAMMABLE TOXIQUE N.S.A.,FT1,2
dom_classification_onu_148,1228,MERCAPTANS LIQUIDES INFLAMMABLES TOXIQUES N.S.A. ou MERCAPTANS EN MÉLANGE LIQUIDE INFLAMMABLE TOXIQUE N.S.A.,FT1,3
dom_classification_onu_149,1229,OXYDE DE MÉSITYLE,F1,3
dom_classification_onu_150,1230,MÉTHANOL,FT1,2
dom_classification_onu_151,1231,ACÉTATE DE MÉTHYLE,F1,2
dom_classification_onu_152,1233,ACÉTATE DE MÉTHYLAMYLE,F1,3
dom_classification_onu_153,1234,MÉTHYLAL,F1,2
dom_classification_onu_154,1235,MÉTHYLAMINE EN SOLUTION AQUEUSE,FC,2
dom_classification_onu_155,1237,BUTYRATE DE MÉTHYLE,F1,2
dom_classification_onu_156,1245,MÉTHYLISOBUTYL-CÉTONE,F1,2
dom_classification_onu_157,1246,MÉTHYLISOPROPENYL-CÉTONE STABILISÉE,F1,2
dom_classification_onu_158,1247,MÉTHACRYLATE DE MÉTHYLE MONOMÈRE STABILISÉ,F1,2
dom_classification_onu_159,1248,PROPIONATE DE MÉTHYLE,F1,2
dom_classification_onu_160,1249,MÉTHYLPROPYLCÉTONE,F1,2
dom_classification_onu_161,1261,NITROMÉTHANE,F1,2
dom_classification_onu_162,1262,OCTANES,F1,2
dom_classification_onu_163,1263,PEINTURES (y compris peintures laques émaux couleurs shellac vernis cirages encaustiques enduits d'apprêt et bases liquides pour laques) ou MATIÈRES APPARENTÉES AUX PEINTURES (y compris solvants et diluants pour peintures) ,F1,1
dom_classification_onu_164,1263,PEINTURES (y compris peintures laques émaux couleurs shellac vernis cirages encaustiques enduits d'apprêt et bases liquides pour laques) ou MATIÈRES APPARENTÉES AUX PEINTURES (y compris solvants et diluants pour peintures) ,F1,3
dom_classification_onu_165,1263,PEINTURES (y compris peintures laques émaux couleurs shellac vernis cirages encaustiques enduits d'apprêt et bases liquides pour laques) ou MATIÈRES APPARENTÉES AUX PEINTURES (y compris solvants et diluants pour peintures) (ayant un point d¿éclair inférieur à 23 °C et visqueux selon 2.2.3.1.4) (pression de vapeur à 50 °C supérieure à 110 kPa point d'ébullition supérieur à 35 °C),F1,3
dom_classification_onu_166,1263,PEINTURES (y compris peintures laques émaux couleurs shellac vernis cirages encaustiques enduits d'apprêt et bases liquides pour laques) ou MATIÈRES APPARENTÉES AUX PEINTURES (y compris solvants et diluants pour peintures) (ayant un point d¿éclair inférieur à 23 °C et visqueux selon 2.2.3.1.4) (pression de vapeur à 50 °C inférieure ou égale à 110 kPa),F1,3
dom_classification_onu_167,1263,PEINTURES (y compris peintures laques émaux couleurs shellac vernis cirages encaustiques enduits d'apprêt et bases liquides pour laques) ou MATIÈRES APPARENTÉES AUX PEINTURES (y compris solvants et diluants pour peintures) (pression de vapeur à 50 °C supérieure à 110 kPa),F1,2
dom_classification_onu_168,1263,PEINTURES (y compris peintures laques émaux couleurs shellac vernis cirages encaustiques enduits d'apprêt et bases liquides pour laques) ou MATIÈRES APPARENTÉES AUX PEINTURES (y compris solvants et diluants pour peintures) (pression de vapeur à 50 °C inférieure ou égale à 110 kPa),F1,2
dom_classification_onu_169,1264,PARALDÉHYDE,F1,3
dom_classification_onu_170,1265,PENTANES liquides,F1,2
dom_classification_onu_171,1266,PRODUITS POUR PARFUMERIE contenant des solvants inflammables ,F1,3
dom_classification_onu_172,1266,PRODUITS POUR PARFUMERIE contenant des solvants inflammables (ayant un point d¿éclair inférieur à 23 °C et visqueux selon 2.2.3.1.4) (pression de vapeur à 50 °C inférieure ou égale à 110 kPa),F1,3
dom_classification_onu_173,1266,PRODUITS POUR PARFUMERIE contenant des solvants inflammables (ayant un point d¿éclair inférieur à 23 °C et visqueux selon 2.2.3.1.4) (pression de vapeur à 50 °C supérieure à 110 kPa point d'ébullition supérieur à 35 °C),F1,3
dom_classification_onu_174,1266,PRODUITS POUR PARFUMERIE contenant des solvants inflammables (pression de vapeur à 50 °C inférieure ou égale à 110 kPa),F1,2
dom_classification_onu_175,1266,PRODUITS POUR PARFUMERIE contenant des solvants inflammables (pression de vapeur à 50 °C supérieure à 110 kPa),F1,2
dom_classification_onu_176,1267,PÉTROLE BRUT,F1,1
dom_classification_onu_177,1267,PÉTROLE BRUT,F1,3
dom_classification_onu_178,1267,PÉTROLE BRUT (pression de vapeur à 50 °C inférieure ou égale à 110 kPa),F1,2
dom_classification_onu_179,1267,PÉTROLE BRUT (pression de vapeur à 50 °C supérieure à 110 kPa),F1,2
dom_classification_onu_180,1268,DISTILLATS DE PÉTROLE N.S.A. ou PRODUITS PÉTROLIERS N.S.A.,F1,3
dom_classification_onu_181,1268,DISTILLATS DE PÉTROLE N.S.A. ou PRODUITS PÉTROLIERS N.S.A. ,F1,1
dom_classification_onu_182,1268,DISTILLATS DE PÉTROLE N.S.A. ou PRODUITS PÉTROLIERS N.S.A. (pression de vapeur à 50 °C inférieure ou égale à 110 kPa),F1,2
dom_classification_onu_183,1268,DISTILLATS DE PÉTROLE N.S.A. ou PRODUITS PÉTROLIERS N.S.A. (pression de vapeur à 50 °C supérieure à 110 kPa),F1,2
dom_classification_onu_184,1272,HUILE DE PIN,F1,3
dom_classification_onu_185,1274,n-PROPANOL (ALCOOL PROPYLIQUE NORMAL),F1,2
dom_classification_onu_186,1274,n-PROPANOL (ALCOOL PROPYLIQUE NORMAL),F1,3
dom_classification_onu_187,1275,ALDÉHYDE PROPIONIQUE,F1,2
dom_classification_onu_188,1276,ACÉTATE DE n-PROPYLE,F1,2
dom_classification_onu_189,1277,PROPYLAMINE,FC,2
dom_classification_onu_190,1278,CHLORO-1 PROPANE,F1,2
dom_classification_onu_191,1279,DICHLORO-12 PROPANE,F1,2
dom_classification_onu_192,1281,FORMIATES DE PROPYLE,F1,2
dom_classification_onu_193,1282,PYRIDINE,F1,2
dom_classification_onu_194,1286,HUILE DE COLOPHANE ,F1,3
dom_classification_onu_195,1286,HUILE DE COLOPHANE (ayant un point d¿éclair inférieur à 23 °C et visqueux selon 2.2.3.1.4) (pression de vapeur à 50 °C inférieure ou égale à 110 kPa),F1,3
dom_classification_onu_196,1286,HUILE DE COLOPHANE (ayant un point d¿éclair inférieur à 23 °C et visqueux selon 2.2.3.1.4) (pression de vapeur à 50 °C supérieure à 110 kPa point d'ébullition supérieur à 35 °C),F1,3
dom_classification_onu_197,1286,HUILE DE COLOPHANE (pression de vapeur à 50 °C inférieure ou égale à 110 kPa),F1,2
dom_classification_onu_198,1286,HUILE DE COLOPHANE (pression de vapeur à 50 °C supérieure à 110 kPa),F1,2
dom_classification_onu_199,1287,DISSOLUTION DE CAOUTCHOUC ,F1,3
dom_classification_onu_200,1287,DISSOLUTION DE CAOUTCHOUC (ayant un point d¿éclair inférieur à 23 °C et visqueux selon 2.2.3.1.4) (pression de vapeur à 50 °C inférieure ou égale à 110 kPa),F1,3
dom_classification_onu_201,1287,DISSOLUTION DE CAOUTCHOUC (ayant un point d¿éclair inférieur à 23 °C et visqueux selon 2.2.3.1.4) (pression de vapeur à 50 °C supérieure à 110 kPa point d'ébullition supérieur à 35 °C),F1,3
dom_classification_onu_202,1287,DISSOLUTION DE CAOUTCHOUC (pression de vapeur à 50 °C inférieure ou égale à 110 kPa),F1,2
dom_classification_onu_203,1287,DISSOLUTION DE CAOUTCHOUC (pression de vapeur à 50 °C supérieure à 110 kPa),F1,2
dom_classification_onu_204,1288,HUILE DE SCHISTE,F1,2
dom_classification_onu_205,1288,HUILE DE SCHISTE,F1,3
dom_classification_onu_206,1289,MÉTHYLATE DE SODIUM EN SOLUTION dans l'alcool,FC,2
dom_classification_onu_207,1289,MÉTHYLATE DE SODIUM EN SOLUTION dans l'alcool,FC,3
dom_classification_onu_208,1292,SILICATE DE TÉTRAÉTHYLE,F1,3
dom_classification_onu_209,1293,TEINTURES MÉDICINALES,F1,2
dom_classification_onu_210,1293,TEINTURES MÉDICINALES,F1,3
dom_classification_onu_211,1294,TOLUÈNE,F1,2
dom_classification_onu_212,1296,TRIÉTHYLAMINE,FC,2
dom_classification_onu_213,1297,TRIMÉTHYLAMINE EN SOLUTION AQUEUSE contenant au plus 50% (masse) de triméthylamine,FC,2
dom_classification_onu_214,1297,TRIMÉTHYLAMINE EN SOLUTION AQUEUSE contenant au plus 50% (masse) de triméthylamine,FC,3
dom_classification_onu_215,1299,ESSENCE DE TÉRÉBENTHINE,F1,3
dom_classification_onu_216,1300,SUCCÉDANÉ D'ESSENCE DE TÉRÉBENTHINE,F1,2
dom_classification_onu_217,1300,SUCCÉDANÉ D'ESSENCE DE TÉRÉBENTHINE,F1,3
dom_classification_onu_218,1301,ACÉTATE DE VINYLE STABILISÉ,F1,2
dom_classification_onu_219,1304,ÉTHER ISOBUTYLVINYLIQUE STABILISÉ,F1,2
dom_classification_onu_220,1306,PRODUITS DE PRÉSERVATION DES BOIS LIQUIDES ,F1,3
dom_classification_onu_221,1306,PRODUITS DE PRÉSERVATION DES BOIS LIQUIDES (pression de vapeur à 50 °C inférieure ou égale à 110 kPa),F1,2
dom_classification_onu_222,1306,PRODUITS DE PRÉSERVATION DES BOIS LIQUIDES (ayant un point d¿éclair inférieur à 23 °C et visqueux selon 2.2.3.1.4) (pression de vapeur à 50 °C inférieure ou égale à 110 kPa),F1,3
dom_classification_onu_223,1306,PRODUITS DE PRÉSERVATION DES BOIS LIQUIDES (ayant un point d¿éclair inférieur à 23 °C et visqueux selon 2.2.3.1.4) (pression de vapeur à 50 °C supérieure à 110 kPa point d'ébullition supérieur à 35 °C),F1,3
dom_classification_onu_224,1306,PRODUITS DE PRÉSERVATION DES BOIS LIQUIDES (pression de vapeur à 50 °C supérieure à 110 kPa) ,F1,2
dom_classification_onu_225,1307,XYLÈNES,F1,2
dom_classification_onu_226,1307,XYLÈNES,F1,3
dom_classification_onu_227,1308,ZIRCONIUM EN SUSPENSION DANS UN LIQUIDE INFLAMMABLE,F1,3
dom_classification_onu_228,1308,ZIRCONIUM EN SUSPENSION DANS UN LIQUIDE INFLAMMABLE (pression de vapeur à 50 °C inférieure ou égale à 110 kPa),F1,2
dom_classification_onu_229,1308,ZIRCONIUM EN SUSPENSION DANS UN LIQUIDE INFLAMMABLE (pression de vapeur à 50 °C supérieure à 110 kPa),F1,2
dom_classification_onu_230,1309,ALUMINIUM EN POUDRE ENROBÉ,F3,2
dom_classification_onu_231,1309,ALUMINIUM EN POUDRE ENROBÉ,F3,3
dom_classification_onu_232,1312,BORNÉOL,F1,3
dom_classification_onu_233,1313,RÉSINATE DE CALCIUM,F3,3
dom_classification_onu_234,1314,RÉSINATE DE CALCIUM FONDU,F3,3
dom_classification_onu_235,1318,RÉSINATE DE COBALT PRÉCIPITÉ,F3,3
dom_classification_onu_236,1323,FERROCÉRIUM,F3,2
dom_classification_onu_237,1324,FILMS À SUPPORT NITRO-CELLULOSIQUE avec couche de gélatine (à l'exclusion des déchets),F1,3
dom_classification_onu_238,1325,SOLIDE ORGANIQUE INFLAMMABLE N.S.A.,F1,2
dom_classification_onu_239,1325,SOLIDE ORGANIQUE INFLAMMABLE N.S.A.,F1,3
dom_classification_onu_240,1326,HAFNIUM EN POUDRE HUMIDIFIÉ avec au moins 25% d¿eau,F3,2
dom_classification_onu_241,1328,HEXAMÉTHYLÈNE-TÉTRAMINE,F1,3
dom_classification_onu_242,1330,RÉSINATE DE MANGANESE,F3,3
dom_classification_onu_243,1331,ALLUMETTES NON «DE SÛRETÉ»,F1,3
dom_classification_onu_244,1332,MÉTALDÉHYDE,F1,3
